gender,age,number_of_kids,day,online_hours
FEMALE,49,4,1,2.2333333333333334
FEMALE,49,4,2,2.5166666666666666
FEMALE,49,4,5,4.683333333333333
FEMALE,49,4,6,3.1333333333333333
FEMALE,49,4,7,2.65
FEMALE,49,4,8,3.183333333333333
FEMALE,49,4,9,4.45
FEMALE,49,4,12,3.75
FEMALE,49,4,13,4.4
FEMALE,49,4,14,2.0
FEMALE,49,4,15,1.05
FEMALE,49,4,19,0.55
FEMALE,49,4,20,2.1999999999999997
FEMALE,49,4,21,3.1166666666666667
MALE,49,0,1,7.116666666666666
MALE,49,0,5,4.133333333333333
MALE,49,0,6,7.3999999999999995
MALE,49,0,7,8.833333333333334
MALE,49,0,8,5.933333333333334
MALE,49,0,12,6.916666666666667
MALE,49,0,13,7.466666666666667
MALE,49,0,14,7.483333333333333
MALE,49,0,15,7.316666666666666
MALE,49,0,19,9.75
MALE,49,0,20,8.25
MALE,49,0,21,6.233333333333333
MALE,26,0,1,3.75
MALE,26,0,2,3.666666666666667
MALE,26,0,6,3.6166666666666667
MALE,26,0,7,1.8666666666666667
MALE,26,0,8,4.583333333333333
MALE,26,0,9,1.7166666666666668
MALE,26,0,13,2.316666666666667
MALE,26,0,14,5.316666666666666
MALE,26,0,15,1.85
MALE,26,0,16,4.45
MALE,26,0,20,3.533333333333333
MALE,26,0,21,4.2
MALE,25,0,1,8.933333333333334
MALE,25,0,2,9.233333333333334
MALE,25,0,3,8.483333333333334
MALE,25,0,4,8.25
MALE,25,0,5,8.333333333333334
MALE,25,0,6,6.533333333333333
MALE,25,0,7,6.25
MALE,25,0,8,6.949999999999999
MALE,25,0,9,7.966666666666667
MALE,25,0,10,8.866666666666667
MALE,25,0,11,6.833333333333333
MALE,25,0,12,5.966666666666667
MALE,25,0,13,7.133333333333333
MALE,25,0,14,6.683333333333334
MALE,25,0,15,7.216666666666667
MALE,25,0,16,8.816666666666666
MALE,25,0,17,7.466666666666667
MALE,25,0,18,6.783333333333333
MALE,25,0,19,8.533333333333333
MALE,25,0,20,6.35
MALE,25,0,21,7.8
FEMALE,44,1,1,3.1333333333333333
FEMALE,44,1,2,3.8499999999999996
FEMALE,44,1,5,5.016666666666667
FEMALE,44,1,6,5.083333333333333
FEMALE,44,1,7,1.35
FEMALE,44,1,8,4.416666666666666
FEMALE,44,1,9,4.15
FEMALE,44,1,12,1.5666666666666667
FEMALE,44,1,13,0.44999999999999996
FEMALE,44,1,14,2.4833333333333334
FEMALE,44,1,15,1.7666666666666666
FEMALE,44,1,16,3.7500000000000004
FEMALE,44,1,19,2.7333333333333334
FEMALE,44,1,20,4.333333333333333
FEMALE,44,1,21,5.316666666666666
MALE,55,0,1,8.583333333333334
MALE,55,0,2,6.633333333333333
MALE,55,0,3,5.366666666666667
MALE,55,0,4,6.750000000000001
MALE,55,0,5,5.25
MALE,55,0,6,7.633333333333334
MALE,55,0,7,5.0
MALE,55,0,8,4.383333333333333
MALE,55,0,9,4.783333333333333
MALE,55,0,11,5.566666666666667
MALE,55,0,12,5.866666666666666
MALE,55,0,13,4.8
MALE,55,0,14,3.8666666666666663
MALE,55,0,15,7.716666666666667
MALE,55,0,16,7.116666666666666
MALE,55,0,17,6.8999999999999995
MALE,55,0,18,3.8833333333333333
MALE,55,0,19,4.966666666666667
MALE,55,0,20,6.2
MALE,55,0,21,4.05
MALE,43,3,1,0.85
MALE,43,3,2,2.5166666666666666
MALE,43,3,4,6.616666666666667
MALE,43,3,5,0.8999999999999999
MALE,43,3,6,4.616666666666666
MALE,43,3,7,5.416666666666667
MALE,43,3,9,4.633333333333334
MALE,43,3,11,6.083333333333334
MALE,43,3,12,1.8666666666666667
MALE,43,3,13,4.4
MALE,43,3,14,1.7666666666666666
MALE,43,3,15,4.066666666666666
MALE,43,3,16,3.8
MALE,43,3,18,7.183333333333333
MALE,43,3,19,3.466666666666667
MALE,43,3,20,2.1500000000000004
MALE,43,3,21,5.7
MALE,31,3,1,4.7
MALE,31,3,2,4.55
MALE,31,3,6,4.383333333333334
MALE,31,3,7,3.2666666666666666
MALE,31,3,8,1.2
MALE,31,3,9,1.7333333333333332
MALE,31,3,13,1.3
MALE,31,3,14,3.6
MALE,31,3,15,5.866666666666667
MALE,31,3,16,2.4333333333333336
MALE,31,3,20,1.9166666666666665
MALE,31,3,21,3.15
MALE,28,0,1,9.433333333333334
MALE,28,0,2,6.233333333333333
MALE,28,0,5,6.233333333333333
MALE,28,0,6,8.433333333333334
MALE,28,0,8,7.566666666666666
MALE,28,0,9,5.716666666666667
MALE,28,0,12,9.516666666666666
MALE,28,0,13,8.75
MALE,28,0,15,7.116666666666666
MALE,28,0,16,9.233333333333333
MALE,28,0,19,5.3
MALE,28,0,20,7.55
MALE,18,0,1,8.35
MALE,18,0,2,8.633333333333333
MALE,18,0,3,6.533333333333333
MALE,18,0,4,8.55
MALE,18,0,5,1.4
MALE,18,0,6,6.716666666666667
MALE,18,0,7,6.016666666666667
MALE,18,0,8,8.366666666666667
MALE,18,0,9,8.766666666666666
MALE,18,0,10,7.1
MALE,18,0,11,8.216666666666667
MALE,18,0,12,8.533333333333333
MALE,18,0,13,1.9333333333333333
MALE,18,0,14,8.583333333333334
MALE,18,0,15,7.449999999999999
MALE,18,0,16,8.583333333333334
MALE,18,0,17,8.1
MALE,18,0,18,9.883333333333333
MALE,18,0,19,10.4
MALE,18,0,20,9.85
MALE,18,0,21,8.45
MALE,18,0,22,1.3333333333333333
MALE,73,1,1,4.666666666666667
MALE,73,1,2,5.933333333333334
MALE,73,1,3,6.35
MALE,73,1,5,8.033333333333333
MALE,73,1,6,7.666666666666667
MALE,73,1,7,4.699999999999999
MALE,73,1,8,8.4
MALE,73,1,9,5.933333333333334
MALE,73,1,10,8.516666666666667
MALE,73,1,12,5.7
MALE,73,1,13,5.95
MALE,73,1,14,5.316666666666667
MALE,73,1,15,3.833333333333333
MALE,73,1,16,7.433333333333334
MALE,73,1,17,6.7
MALE,73,1,19,6.999999999999999
MALE,73,1,20,6.316666666666666
MALE,73,1,21,6.15
MALE,64,2,1,2.8833333333333333
MALE,64,2,3,4.95
MALE,64,2,4,5.566666666666666
MALE,64,2,5,5.066666666666666
MALE,64,2,6,3.483333333333333
MALE,64,2,8,1.7166666666666668
MALE,64,2,9,2.9833333333333334
MALE,64,2,10,4.65
MALE,64,2,11,8.466666666666667
MALE,64,2,12,1.866666666666667
MALE,64,2,13,4.466666666666667
MALE,64,2,14,1.3333333333333333
MALE,64,2,15,4.75
MALE,64,2,16,4.033333333333333
MALE,64,2,17,6.95
MALE,64,2,18,4.233333333333333
MALE,64,2,19,2.7499999999999996
MALE,64,2,20,2.283333333333333
MALE,64,2,21,4.733333333333333
MALE,30,0,1,8.316666666666666
MALE,30,0,2,8.233333333333334
MALE,30,0,3,6.55
MALE,30,0,4,8.433333333333334
MALE,30,0,5,9.133333333333333
MALE,30,0,6,8.766666666666666
MALE,30,0,7,7.366666666666666
MALE,30,0,8,6.883333333333334
MALE,30,0,9,8.766666666666666
MALE,30,0,10,10.083333333333332
MALE,30,0,11,10.683333333333334
MALE,30,0,12,9.15
MALE,30,0,13,8.933333333333334
MALE,30,0,14,9.816666666666666
MALE,30,0,15,6.45
MALE,30,0,16,9.0
MALE,30,0,17,8.9
MALE,30,0,18,10.283333333333333
MALE,30,0,19,9.55
MALE,30,0,20,8.316666666666666
MALE,30,0,21,6.633333333333333
MALE,51,1,1,4.300000000000001
MALE,51,1,5,4.3
MALE,51,1,6,5.683333333333333
MALE,51,1,7,5.5
MALE,51,1,8,6.533333333333333
MALE,51,1,12,5.199999999999999
MALE,51,1,13,4.583333333333334
MALE,51,1,14,6.083333333333334
MALE,51,1,15,6.116666666666667
MALE,51,1,19,5.066666666666666
MALE,51,1,20,7.2
MALE,51,1,21,7.866666666666666
MALE,31,1,1,8.166666666666668
MALE,31,1,3,10.433333333333334
MALE,31,1,4,10.416666666666666
MALE,31,1,5,5.383333333333334
MALE,31,1,6,7.6
MALE,31,1,7,8.133333333333333
MALE,31,1,8,9.533333333333333
MALE,31,1,9,6.083333333333334
MALE,31,1,10,5.5
MALE,31,1,11,5.766666666666667
MALE,31,1,12,5.9
MALE,31,1,13,9.816666666666666
MALE,31,1,14,6.9
MALE,31,1,15,6.1499999999999995
MALE,31,1,16,8.966666666666667
MALE,31,1,17,7.016666666666666
MALE,31,1,18,6.566666666666666
MALE,31,1,19,9.166666666666666
MALE,31,1,20,9.85
MALE,31,1,21,7.966666666666667
MALE,46,0,1,4.016666666666667
MALE,46,0,3,5.816666666666666
MALE,46,0,5,0.6833333333333333
MALE,46,0,6,1.2166666666666668
MALE,46,0,7,0.8333333333333334
MALE,46,0,8,3.9
MALE,46,0,9,2.9833333333333334
MALE,46,0,10,8.266666666666667
MALE,46,0,12,2.45
MALE,46,0,13,2.1166666666666667
MALE,46,0,14,2.1500000000000004
MALE,46,0,15,2.9000000000000004
MALE,46,0,16,3.45
MALE,46,0,17,6.433333333333334
MALE,46,0,19,4.583333333333333
